"Name","Description","Email","Website","Instagram","Image_Source"
"Advocates for Rare Diseases","Advocates for Rare Diseases is an organization dedicated to increasing awareness and fundraising for individuals impacted by rare diseases. Our organization is open to all undergraduate UW-Madison students passionate about raising funds for research and eager to learn more about rare diseases. Each semester ARD members collaborate to choose one rare disease to educate ourselves as a club on, spread awareness to the campus community, and develop a fundraising event to support research.","ardwisco@office365.wisc.edu","https://groupme.com/join_group/102747085/4JFfahL2","No Instagram available","https://se-images.campuslabs.com/clink/images/c6ef6f25-ea95-465c-9f3d-f1471e6966292e8563f2-6bbb-4df1-b8b9-5ce80c2d1705.JPG?preset=small-sq"
"African Christian Fellowship (UW-Madison)","ACF UW-Madison is affiliated to ACF Madison, and by extension ACF USA. Founded in 1977, ACF USA now has over 50 chapters across different cities of the United States. The UW-Madison chapter is home for African students in the University.
    The Fellowship have the following objectives:
A. To provide and promote Christian fellowship and worship. 
B. To teach and mobilize Christians for effective Godly living and Christian ministry. 
C. To minister and support evangelization and missions on the premise that Jesus Christ is Lord and Savior of all nations.
D. To build and maintain bridges of understanding, unity, and cooperation among Christians of differing descent, origin, heritage and experience.
E. To strengthen families.
F. To positively impact Africa’s spiritual and economic development.
G. To otherwise engage in any lawful activities which are consistent with its religious, educational, and charitable existence.","mosesoluwanifise@gmail.com","https://uwmadison.campuslabs.com/engage/organization/acf-uwmadison/contact","www.instagram.com/acfuwmadison","https://se-images.campuslabs.com/clink/images/4d6c030c-74e0-43ba-b5fb-735d6e5c04dd3e76dd44-36b9-41bf-a714-5025bc52bbde.png?preset=small-sq"
"African Students Association","ASA is a multicultural student group at the University of Wisconsin - Madison. Our mission is to promote cultural and social awareness of African students amongst the entire student body and faculty of our university. We work to facilitate better communication and understanding between African students and other members of the university community, while encouraging activities that portray the noble cultural treasures of the African continent.
Anybody and everybody is welcome to become a member. People can join ASA for many reasons including making new friends and learning the rich and colorful cultures of Africa, just to mention a few!","badgerasa@gmail.com","http://eepurl.com/iaA5-v","No Instagram available","https://se-images.campuslabs.com/clink/images/f4997626-481b-4476-a159-107e556de489d477df38-1177-4242-8a2a-1061af71f218.png?preset=small-sq"
"AHANA-MAPS Pre-Health Society","AHANA stands for African, Hispanic, Asian, and Native American. We are a student organization grounded in the belief of providing students with an essential, well-rounded perspective of the healthcare field, enriching experiences, and community service opportunities.
AHANA strives to provide platforms for undergraduates to share experiences common to students entering health professions.
AHANA facilitates social and educational meetings to facilitate fellowship among students interested in minority health concerns.","ahanaprehealthsociety@gmail.com","https://uwmadison.campuslabs.com/engage/organization/ahanaprehealthsociety/contact","https://www.instagram.com/ahana_maps/","https://se-images.campuslabs.com/clink/images/a222836e-d27f-4514-9e4a-f8a3d01d7a4da42b9c0d-34ae-4e03-84b2-fd62d8022e40.png?preset=small-sq"
"AI in Medicine - UW Madison","In an era of rapid technological evolution, the medical field stands at the cusp of a paradigm shift. The integration of Artificial Intelligence (AI) into medical practices promises advancements in diagnostics, treatment planning, research, and patient care. As the next generation of medical professionals, it is imperative for students to understand and be at the forefront of this transformative journey. The University of Wisconsin-Madison, with its rich history of research and innovation, is ideally positioned to foster this understanding through the formation of an ""AI in Medicine"" club. Our goal is to create a multidisciplinary platform for students of all backgrounds to explore, understand, and innovate in the convergence of AI and medicine, while promoting diversity, inclusion, and collaboration. We will aim to empower students with the knowledge and skills in AI, ensuring that the future of medicine remains patient-centered, equitable, and technologically advanced.
  Interested? Fill out our membership form! https://docs.google.com/forms/d/15k4iU_bo9THPX1K6LD9f0aqM_qsp8s0U7L253hh5Bew/edit","Aiinmedicineuw@outlook.com","https://uwmadison.campuslabs.com/engage/organization/aiinmedicine/contact","No Instagram available","No image available"
"AIGA Wisconsin UW-Madison","AIGA UW-Madison is a group for students interested in graphic design. Connected to the national AIGA and the Wisconsin chapter of AIGA, AIGA UW-Madison provides students with an opportunity to learn more about the graphic design community at the University.  It also allows students to learn about the practice of graphic design as a profession.  AIGA UW-Madison connects students with similar interests in the design field.  Connection with the local and national chapters creates networking opportunities for students.  AIGA is nationally recognized, and students can benefit from participation with the group before entering professional practice.","aigauwmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/aigauwmadison/contact","https://www.instagram.com/aigauwmadison/","https://se-images.campuslabs.com/clink/images/541cfe37-3fe3-49b1-9cd1-4c2162c32e5eba2933d2-4400-4792-b21d-7e37db659c1c.png?preset=small-sq"
"Aim High","At Aim High, our mission is to empower high school students by providing free, high-quality ACT/SAT tutoring. We ensure that all students, regardless of background, have the opportunity to access higher education and achieve their highest potential.","agopal4@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/aimhigh/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/fe824ab3-2166-4190-a6a7-df94bf600d75d3b634e7-63a2-41d3-a025-85b93bf03196.jpg?preset=small-sq"
"Albanian American Student Organization","The Albanian American Student Organization at UW Madison is a vibrant and inclusive community dedicated to exploring, celebrating, and preserving the rich history of Albanian culture. Our organization serves as a dynamic platform for students to immerse themselves in the beauty and diversity of the Albanian culture. Through engaging events, informative meetings, and cultural showcases, we work to provide deeper understanding on what it means to be an Albanian. We provide a welcoming space for Albanian (and non-Albanian) students to forge meaningful connections, cultivating friendships and a sense of belonging that extends beyond the campus boundaries. By actively participating in both on-campus and off-campus Albanian events, we ensure that our members play an integral role in the broader Albanian community while fostering a spirit of unity, pride, and cultural exchange.","akjonuzi@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/aaso/contact","https://www.instagram.com/aaso.uwmadison/","https://se-images.campuslabs.com/clink/images/8908a48f-f9e0-44ba-84bd-892cb31b855aa3ba4ddf-261a-4d64-a045-83ce48b4a599.PNG?preset=small-sq"
"Alexander Hamilton Society UW-Madison Chapter","The Alexander Hamilton Society (AHS) is a non-partisan, not-for-profit, national organization that seeks to identify, educate, and launch young people into foreign policy and national security careers imbued with the Hamiltonian perspective of strong and principled American leadership in global affairs.","ahswisconsin@gmail.com","https://ahswisconsin.wixsite.com/my-site","No Instagram available","https://se-images.campuslabs.com/clink/images/88eca3ad-18de-4287-8be7-290615588ca318419d06-6927-433b-b8c7-48804edf6847.jpg?preset=small-sq"
"Allied Scholars For Animal Protection UW-Madison","ASAP focuses on both short term (1-5 years) and long term (20-30 years) changes. By providing a unified infrastructure, ASAP ensures for the first time that there is a strong, effective, sustained, and united effort to end animal oppression on campuses across the country. The students we train and mentor will become the next generation of industry leaders in health, medicine, journalism, the environmental sciences, business, academia, government, law, and the nonprofit world.  
https://www.youtube.com/watch?v=PhHpJqkCzRs","Ryan@alliedscholars.org","https://www.alliedscholars.org/uwmadison","No Instagram available","https://se-images.campuslabs.com/clink/images/fbb14053-f2df-4598-b354-04cb6a642ff4de745a06-53fa-4a77-8d50-b765364ff0b6.png?preset=small-sq"
"Alpha Chapter of Alpha Chi Sigma","Alpha Chi Sigma is a co-ed professional chemistry fraternity founded at the University of Wisconsin-Madison in 1902. Alpha Chi Sigma is a national organization with chapters across the country and has numerous faculty members on campus in the Chemistry, Chemical Engineering, and Biochemistry departments. Alpha Chi Sigma strives for the advancement of chemistry both as a science and as a profession, provides a free chemistry tutoring program for students, and participates in science and non-academic outreach events. We focus on academic and professional development but also on forming lifelong friendships. We have members majoring in Chemistry, Biology, Biochemistry, Chemical Engineering, Neuroscience, Microbiology, Animal Science, Botany, Food Science, Psychology, and more!
Check out our official website for more information: http://alphachisigmauw.com/","axsalphachapter@gmail.com","http://alphachisigmauw.com/","No Instagram available","https://se-images.campuslabs.com/clink/images/24bad73f-7787-489b-ac0b-3363f71da5c38cec42b2-696e-4116-9129-705ececd7cd7.png?preset=small-sq"
"Alpha Chi Omega - Kappa Chapter","","axopresident.kappa@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphachiomega/contact","https://www.instagram.com/axowisconsin/","https://se-images.campuslabs.com/clink/images/ed7afb19-513d-495e-93ba-f5f3a5d194e2d7d5f87a-5fa4-4379-bba3-8bacc741b83a.jpg?preset=small-sq"
"Alpha Epsilon Delta (PreHealth Honor Society), Wisconsin Beta Chapter","Please visit our new website, https://uwmadisonaed.wixsite.com/uwaed, for up-to-date information.
To Join AED please send an email to srajesh3@wisc.edu
Alpha Epsilon Delta is a pre-health honors society that is a Beta chapter of the national AED here at the University of Wisconsin-Madison campus.  At our general bi-weekly meetings we have a variety of physician speakers and other pre-health related speakers to advance you in your undergraduate career. We host volunteer events to help you get involved in the Madison community, Public Relations events to learn how to manage life as a pre-health student, and social events to blow off steam from our crazy, busy schedules and spend time with other pre-health students!
While there are many pre-health orgs on campus, ours is unique in that we have a partnership with the UW Surgery Department that allows our active members to shadow in surgery (check it out here:  Surgical Shadowing Program | Alpha Epsilon Delta (uwmadisonaed.wixsite.com). Other events we offer are the phlebotomy and CPR courses, which are highly valuable to a pre-health student. Additionally, many of us have volunteered at one of Madison’s three hospitals, so we are more than able to help you find a volunteering position.","dhoondia@wisc.edu","https://uwmadisonaed.wixsite.com/uwaed","No Instagram available","https://se-images.campuslabs.com/clink/images/9eaec332-8e3f-42a2-8985-baae8302f84366d07ce4-0da0-4159-8859-ac3e0017f0ca.png?preset=small-sq"
"Alpha Epsilon Phi - Sigma Chapter","Alpha Epsilon Phi is a national sorority, founded October 24, 1909, by seven women, dedicated to helping women become the best they can be. These seven women were searching for a group of young women that would contribute to the growth of its members emotionally, intellectually and socially. We are a sorority that strives to inspire and support exemplary women dedicated to friendship and a lifelong commitment to sisterhood, while building on the vision of our founders. We prize individuality, encouraging each member to discover and develop the talents and abilities that make her unique. But just as we value individuality, we also prize togetherness, fostering friendships and a sense of belonging. When becoming a part of AEPhi, you are not just becoming a member of a sorority; you are becoming a sister in a family, full of love, trust and understanding that lasts a lifetime.
Alpha Epsilon Phi has two national philanthropies. Sharsheret is a national nonprofit organization of cancer survivors dedicated to addressing the unique challenges young women living with breast cancer deal with on a day to day basis. Elizabeth Glazer Pediatrics AIDS Foundation, our second national philanthropy, is one of the leading pediatric AIDS organizations. Elizabeth was a member of AEPhi Sigma Chapter, and while giving birth to her first child, she was transfused with blood that was infected with the AIDS virus, which she unknowingly passed along to her two children. The Elizabeth Glaser Pediatric AIDS Foundation is a nonprofit organization dedicated to preventing pediatric HIV infection and eliminating pediatric AIDS through research, advocacy, and prevention, care, and treatment programs. 
  Multa Corda Una Causa, Many hearts One purpose.","aephisigma.president@gmail.com","https://wiscophi.com","No Instagram available","https://se-images.campuslabs.com/clink/images/aa1255a0-260a-4ecd-8e87-7bb187a7e40bfd2216d5-ba0a-4125-bbca-cbed7ef1fcf8.JPG?preset=small-sq"
"Alpha Gamma Rho - Iota Chapter","Alpha Gamma Rho is a social/professional fraternity for men interested in the study of agriculture and who want to become actively involved on campus. We also have a vast alumni network that assists with career development and connections.","agriotaproud@gmail.com","http://www.wisconsinagr.com","No Instagram available","https://se-images.campuslabs.com/clink/images/9c136577-d48a-4953-8c68-c1e380bd707961d33a0c-e7cd-49a0-a98f-83baa19ea69d.png?preset=small-sq"
"Alpha Kappa Alpha Sorority, Inc (R) - Epsilon Delta Chapter","Founded on Wednesday January 15, 1908 on the campus of Howard University in Washington D.C., Alpha Kappa Alpha Sorority, Incorporated ® is the first Greek Letter Organization to be established and nationally incorporated by college-trained African American women. 
The purpose of Alpha Kappa Alpha Sorority, Inc. is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of service all mankind. 
The Epsilon Delta Chapter became the First Black Sorority on the University of Wisconsin-Madison campus, as well as the first Undergraduate chapter of Alpha Kappa Alpha in the state. Given the small number of Black students enrolled at the University of Wisconsin-Madison on Saturday May 18, 1968, the presence of a Black sorority on this campus made a very important statement. 
The Epsilon Delta Chapter was and still is involved in promoting Black unity and Black heritage on campus, as well as providing service to the University Wisconsin-Madison and Madison communities. Through our programming and service initiatives, this powerful legacy of ‘Being of Service to all Mankind’ proudly continues today, and we continue to do it with ‘Style and Grace’
Symbol : Ivy Leaf
Colors: Salmon Pink and Apple Green 
Flower: Pink Tea Rose
Motto: ""By Culture and By Merit""
Current President: Makayla Hughes
Charter Members of the Epsilon Delta Chapter of Alpha Kappa Alpha Sorority, Inc. 
Margaret Balsley
Carol Brunson Day
Karen Dickson
Priscilla Florence
Judith Gordon
LaCharion Griffin
Sara Jackson
Deborah McCormick
Gwynette McDonald
Renee Thomas
Cheryl Turner
Carma Whitfield
  Current initiatives under International President Danette Anthony Reed
Please see http://www.aka1908.com/ or http://www.akacentral.org/index.php/en/ for more information
  Privacy Policy
The Epsilon Delta Chapter of Alpha Kappa Alpha Sorority, Inc. is committed and recognizes your need for protection and privacy issues on the internet.
In general, you visit the www.aka1908.com without telling us who you are or revealing any information about yourself. We do collect Internet Protocol addresses and domain names of visitors for site administration purposes, such as to analyze this data for trends and statistics. No personal information is obtained, rather just the patterns of usage of our various users may be tracked and monitored. This data is used to customize our website content to deliver a better experience to our users.
  Disclaimers
This website and its content are provided ""as is"" and the Epsilon Delta Chapter excludes fullest extent permitted by applicable law any warranty, express or implied, including, without limitation, any implied warranties of merchantability, satisfactory quality or fitness for a particular purpose. The functions embodied on, or in the materials, this website are not warranted to be uninterrupted or without error. You, not Epsilon Delta Chapter, assume the entire cost of all necessary servicing , repair or correction due to your use of this website.
Except as specifically stated in this Policy, or elsewhere on this website, or as otherwise required by applicable law, neither Epsilon Delta Chapter nor its members, content providers, or other representatives will be liable for damages of any kind (including, without limitation, lost profits, direct, indirect, compensatory, consequential, exemplary, special, incidental, or punitive damages) arising out of your use of, your inability to use, or the performance of his website or the content whether or not we have been advised of the possibility of such damages.
Epsilon Delta Chapter uses reasonable efforts to ensure the accuracy, correctness and reliability of the content, but we make no representations or warranties as to the content's accuracy, correctness or reliability.
Alpha Kappa Alpha Sorority, Inc. is not responsible for the design nor content of these web pages. They are the sole property and responsibility of the Central region or the Epsilon Delta Chapter who hosts and maintains this website.
Some U.S. states and foreign countries do not permit the exclusion or limitation of implied warranties or liability for certain categories of damages. Therefore, some or all of the limitations above may not apply to you to the extent they are prohibited or superseded by state or international provisions.
Last Update: August 31st, 2024","epsilondelta1968@gmail.com","https://uwmadison.campuslabs.com/engage/organization/epsilondeltaaka/contact","https://www.instagram.com/epsilondelta_aka/","https://se-images.campuslabs.com/clink/images/216217c6-46b3-489d-bc21-2bd0d0c533a9539465f6-e466-4c27-8b86-b609c31de5eb.jpg?preset=small-sq"
"alpha Kappa Delta Phi International Sorority Inc. Alpha Epsilon Chapter","alpha Kappa Delta Phi (aKDPhi) was first founded at the University of California, Berkeley in 1990. In the Spring of 2008, it was established at UW-Madison and has spread nationwide (plus Canada!) with over 59 chapters and is still actively growing at different universities. The purpose of this Asian-interest sorority is to promote sisterhood, scholarship, leadership, and Asian/Asian-American awareness in the University and in the community, while encouraging the expression of the individual. We may be Asian-interest, but we are not Asian-exclusive! Anyone from all walks of life is welcome and accepted.","wisc.akdphi@gmail.com","https://wiscakdphi.wixsite.com/website-7/active-house","No Instagram available","https://se-images.campuslabs.com/clink/images/d3271fb3-288e-4c27-b66f-35c1650b9fb191a6765a-3f52-4321-b4e1-1d0475f4ce76.png?preset=small-sq"
"Alpha Kappa Psi (Alpha Mu Chapter)","The Alpha Mu Chapter of Alpha Kappa Psi (AKPsi) at the University of Wisconsin is the most prestigious business fraternity on campus. We are the fourth largest chapter of AKPsi in the world, members of Alpha Mu enjoy an unbeatable social network, unparalleled access to professional development and community service events, and enviable company and alumni contacts.
Members of AKPsi major in all core areas of business as well as engineering, communications, journalism, retail, computer science, foreign languages, and more. With a cumulative GPA standard of 3.0, incredible leadership skills gained through many opportunities, and a required number of service and professional development hours, you can be sure that members of AKPsi are the most well-rounded students on campus.
AKPsi is America’s first professional business organization. Founded in 1904, AKPsi is recognized as the premier developer of principled business leaders. With over 298,000 initiated members at 219 universities in 4 countries, AKPsi is the world’s oldest, largest, and most prestigious business fraternity in the world. Members of AKPsi have held every major political position in the United states, including the presidency, as well as executive positions in the world’s most profitable companies.
To learn more about our organization and how you can join, visit our website or contact us by clicking below.","mkyang4@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/badgerakpsi/contact","https://www.instagram.com/badgerakpsi","https://se-images.campuslabs.com/clink/images/9a3d23c9-c090-4e4d-8773-4dc7311e36fb25e04a15-bfdb-47e1-a04d-56864eeca44f.png?preset=small-sq"
"Alpha Lambda Mu Fraternity at the University of Wisconsin - Madison","The mission of Alif Laam Meem is to connect, build, and sustain a lifelong brotherhood as the first Muslim-interest fraternity in America through excellence in character, excellence in service, excellence in intellectual standard, excellence in spirituality, and excellence in creativity amongst all members, chapters, conglomerates, and associates.","wisc@alphalambdamu.org","http://n/a","No Instagram available","https://se-images.campuslabs.com/clink/images/ca48f7f0-78a2-4532-b688-73241b8834cd1542c803-48ba-4383-b348-48fcefe3b7e1.png?preset=small-sq"
"Alpha Lambda Rho","Our mission is to connect, build, and sustain a lifelong sisterhood as the first Muslim-interest sorority at the University of Wisconsin-Madison through excellence in character, excellence in service, excellence in intellectual standard, and excellence in creativity amongst all members, chapters, conglomerates, and associates.","alphalambdarho1@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphalambdarho/contact","https://www.instagram.com/alr_uw/","https://se-images.campuslabs.com/clink/images/62afad40-1432-4671-9aca-859a9c90b7ea6520b3eb-b699-42bc-a091-b1ea1bc36737.png?preset=small-sq"
"Alpha Omega Campus Ministry, Madison","Alpha Omega Campus Ministry, Madison is a space where you can find family, faith, and a community dedicated to loving God and loving others. We are firm believers in the power of the Bible, and we’d love to help you learn more about it! If you’re looking to deepen your relationship with God, join us for weekly Bible discussions, devotionals, and Sunday church services!
  If you are interested in more information, feel free to text Dan Winchester at 414-562-7136. Church services are held at the Madison Church of Christ located at 2001 Fish Hatchery Rd.","danwinchester1@gmail.com","https://www.madisonchurch.net/ministries","No Instagram available","https://se-images.campuslabs.com/clink/images/004c5c69-5213-490d-9097-ad123e2e4b851e43227e-30ed-4221-b8ce-ffae2d4638c6.jpg?preset=small-sq"
